ASSAY_PLATE	SOURCE_PLATE	WELL	COMPOUND	FRACTION
Plate_1	Library_plate1	P03	Compound_46	3
Plate_1	Library_plate1	P04	Compound_46	2
Plate_1	Library_plate1	P05	Compound_47	3
Plate_1	Library_plate1	P06	Compound_47	2
Plate_1	Library_plate1	P07	Compound_48	3
Plate_1	Library_plate1	P08	Compound_48	2
Plate_1	Library_plate1	P09	Compound_49	3
Plate_1	Library_plate1	P10	Compound_49	2
Plate_1	Library_plate1	A03	Compound_56	0
Plate_1	Library_plate1	A04	Compound_56	1
Plate_1	Library_plate1	A05	Compound_57	0
Plate_1	Library_plate1	A06	Compound_57	1
Plate_1	Library_plate1	A07	Compound_58	0
Plate_1	Library_plate1	A08	Compound_58	1
Plate_1	Library_plate1	A09	Compound_59	0
Plate_1	Library_plate1	A10	Compound_59	1
Plate_1	Library_plate1	A11	Compound_60	0
Plate_1	Library_plate1	A12	Compound_60	1
Plate_1	Library_plate1	A13	Compound_61	0
Plate_1	Library_plate1	A14	Compound_61	1
Plate_1	Library_plate1	A15	Compound_62	0
Plate_1	Library_plate1	A16	Compound_62	1
Plate_1	Library_plate1	A17	Compound_63	0
Plate_1	Library_plate1	A18	Compound_63	1
Plate_1	Library_plate1	A19	Compound_64	0
Plate_1	Library_plate1	A20	Compound_64	1
Plate_1	Library_plate1	A21	Compound_65	0
Plate_1	Library_plate1	A22	Compound_65	1
Plate_1	Library_plate1	A23	Compound_66	0
Plate_1	Library_plate1	A24	Compound_66	1
Plate_1	Library_plate1	B03	Compound_56	3
Plate_1	Library_plate1	B04	Compound_56	2
Plate_1	Library_plate1	B05	Compound_57	3
Plate_1	Library_plate1	B06	Compound_57	2
Plate_1	Library_plate1	B07	Compound_58	3
Plate_1	Library_plate1	B08	Compound_58	2
Plate_1	Library_plate1	B09	Compound_59	3
Plate_1	Library_plate1	B10	Compound_59	2
Plate_1	Library_plate1	B11	Compound_60	3
Plate_1	Library_plate1	B12	Compound_60	2
Plate_1	Library_plate1	B13	Compound_61	3
Plate_1	Library_plate1	B14	Compound_61	2
Plate_1	Library_plate1	B15	Compound_62	3
Plate_1	Library_plate1	B16	Compound_62	2
Plate_1	Library_plate1	B17	Compound_63	3
Plate_1	Library_plate1	B18	Compound_63	2
Plate_1	Library_plate1	B19	Compound_64	3
Plate_1	Library_plate1	B20	Compound_64	2
Plate_1	Library_plate1	B21	Compound_65	3
Plate_1	Library_plate1	B22	Compound_65	2
Plate_1	Library_plate1	B23	Compound_66	3
Plate_1	Library_plate1	B24	Compound_66	2
Plate_1	Library_plate1	C03	Compound_67	0
Plate_1	Library_plate1	C04	Compound_67	1
Plate_1	Library_plate1	C05	Compound_68	0
Plate_1	Library_plate1	C06	Compound_68	1
Plate_1	Library_plate1	C07	Compound_69	0
Plate_1	Library_plate1	C08	Compound_69	1
Plate_1	Library_plate1	C09	Compound_70	0
Plate_1	Library_plate1	C10	Compound_70	1
Plate_1	Library_plate1	C11	Compound_71	0
Plate_1	Library_plate1	C12	Compound_71	1
Plate_1	Library_plate1	C13	Compound_72	0
Plate_1	Library_plate1	C14	Compound_72	1
Plate_1	Library_plate1	C15	Compound_73	0
Plate_1	Library_plate1	C16	Compound_73	1
Plate_1	Library_plate1	C17	Compound_74	0
Plate_1	Library_plate1	C18	Compound_74	1
Plate_1	Library_plate1	C19	Compound_75	0
Plate_1	Library_plate1	C20	Compound_75	1
Plate_1	Library_plate1	C21	Compound_76	0
Plate_1	Library_plate1	C22	Compound_76	1
Plate_1	Library_plate1	C23	Compound_77	0
Plate_1	Library_plate1	C24	Compound_77	1
Plate_1	Library_plate1	D03	Compound_67	3
Plate_1	Library_plate1	D04	Compound_67	2
Plate_1	Library_plate1	D05	Compound_68	3
Plate_1	Library_plate1	D06	Compound_68	2
Plate_1	Library_plate1	D07	Compound_69	3
Plate_1	Library_plate1	D08	Compound_69	2
Plate_1	Library_plate1	D09	Compound_70	3
Plate_1	Library_plate1	D10	Compound_70	2
Plate_1	Library_plate1	D11	Compound_71	3
Plate_1	Library_plate1	D12	Compound_71	2
Plate_1	Library_plate1	D13	Compound_72	3
Plate_1	Library_plate1	D14	Compound_72	2
Plate_1	Library_plate1	D15	Compound_73	3
Plate_1	Library_plate1	D16	Compound_73	2
Plate_1	Library_plate1	D17	Compound_74	3
Plate_1	Library_plate1	D18	Compound_74	2
Plate_1	Library_plate1	D19	Compound_75	3
Plate_1	Library_plate1	D20	Compound_75	2
Plate_1	Library_plate1	D21	Compound_76	3
Plate_1	Library_plate1	D22	Compound_76	2
Plate_1	Library_plate1	D23	Compound_77	3
Plate_1	Library_plate1	D24	Compound_77	2
Plate_1	Library_plate1	E03	Compound_78	0
Plate_1	Library_plate1	E04	Compound_78	1
Plate_1	Library_plate1	E05	Compound_79	0
Plate_1	Library_plate1	E06	Compound_79	1
Plate_1	Library_plate1	E07	Compound_80	0
Plate_1	Library_plate1	E08	Compound_80	1
Plate_1	Library_plate1	E09	Compound_81	0
Plate_1	Library_plate1	E10	Compound_81	1
Plate_1	Library_plate1	E11	Compound_82	0
Plate_1	Library_plate1	E12	Compound_82	1
Plate_1	Library_plate1	E13	Compound_83	0
Plate_1	Library_plate1	E14	Compound_83	1
Plate_1	Library_plate1	E15	Compound_84	0
Plate_1	Library_plate1	E16	Compound_84	1
Plate_1	Library_plate1	E17	Compound_85	0
Plate_1	Library_plate1	E18	Compound_85	1
Plate_1	Library_plate1	E19	Compound_86	0
Plate_1	Library_plate1	E20	Compound_86	1
Plate_1	Library_plate1	E21	Compound_87	0
Plate_1	Library_plate1	E22	Compound_87	1
Plate_1	Library_plate1	E23	Compound_88	0
Plate_1	Library_plate1	E24	Compound_88	1
Plate_1	Library_plate1	F03	Compound_78	3
Plate_1	Library_plate1	F04	Compound_78	2
Plate_1	Library_plate1	F05	Compound_79	3
Plate_1	Library_plate1	F06	Compound_79	2
Plate_1	Library_plate1	F07	Compound_80	3
Plate_1	Library_plate1	F08	Compound_80	2
Plate_1	Library_plate1	F09	Compound_81	3
Plate_1	Library_plate1	F10	Compound_81	2
Plate_1	Library_plate1	F11	Compound_82	3
Plate_1	Library_plate1	F12	Compound_82	2
Plate_1	Library_plate1	F13	Compound_83	3
Plate_1	Library_plate1	F14	Compound_83	2
Plate_1	Library_plate1	F15	Compound_84	3
Plate_1	Library_plate1	F16	Compound_84	2
Plate_1	Library_plate1	F17	Compound_85	3
Plate_1	Library_plate1	F18	Compound_85	2
Plate_1	Library_plate1	F19	Compound_86	3
Plate_1	Library_plate1	F20	Compound_86	2
Plate_1	Library_plate1	F21	Compound_87	3
Plate_1	Library_plate1	F22	Compound_87	2
Plate_1	Library_plate1	F23	Compound_88	3
Plate_1	Library_plate1	F24	Compound_88	2
Plate_1	Library_plate1	G03	Compound_6	0
