"Filename: ""C:\path\to\file.csv""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*NOTE: This file was taken from http://www.bmsc.washington.edu/FIT/documentation/format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wellset: ""Default""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step,Cycle,Dye,Temp.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
2,22, HEX,24.1,0.1507,0.0482,0.1827,0.0448,0.0686,0.0386,0.3995,0.1627,0.0941,0.3602,0.3609,0.2888,2.9905,2.7232,1.8904,2.7986,1.7221,2.341,1.7449,1.9771,3.6915,3.209,3.3267,4.7683,0.0213,0.0289,0.0276,0.0386,0.0257,0.0245,0.0228,0.049,0.0158,0.0146,0.019,0.0208,2.4481,2.467,1.8043,3.7402,2.7984,2.3632,2.3252,3.1292,2.9551,1.7104,3.0084,3.0892
2,23, HEX,24.3,0.1537,0.05,0.1849,0.0463,0.0655,0.0375,0.3945,0.1715,0.0877,0.3637,0.3461,0.2847,2.9814,2.7202,1.8908,2.7958,1.7255,2.3406,1.7439,1.9827,3.6829,3.2024,3.3187,4.761,0.023,0.0289,0.0261,0.0394,0.0276,0.0237,0.0214,0.0503,0.0178,0.0135,0.0198,0.0207,2.4469,2.4493,1.7969,3.7425,2.7975,2.3578,2.3136,3.1221,2.9416,1.7037,3.0031,3.0839
2,24, HEX,24.5,0.1577,0.0498,0.174,0.0512,0.0657,0.0366,0.3768,0.1656,0.0895,0.3532,0.3525,0.277,2.9837,2.7141,1.8856,2.7957,1.7228,2.3393,1.7396,1.9809,3.683,3.2083,3.3233,4.7654,0.0204,0.0269,0.0247,0.0376,0.0257,0.0218,0.0229,0.0496,0.016,0.0137,0.0179,0.02,2.4362,2.4431,1.8019,3.7276,2.7843,2.3532,2.3095,3.1286,2.93,1.7017,2.9995,3.0774
2,25, HEX,24.7,0.1566,0.0415,0.1739,0.0421,0.0619,0.0403,0.3736,0.1606,0.0999,0.3517,0.3443,0.2775,2.9883,2.7209,1.8802,2.7925,1.7255,2.3471,1.7531,1.9887,3.6858,3.2088,3.3186,4.7646,0.0235,0.0281,0.0257,0.0376,0.0271,0.0201,0.0218,0.0496,0.0155,0.0119,0.0186,0.0178,2.4181,2.433,1.8023,3.7272,2.7806,2.3488,2.2864,3.1148,2.9259,1.6988,2.9856,3.0685
2,26, HEX,24.9,0.1466,0.0414,0.1809,0.0456,0.0649,0.0438,0.3756,0.1579,0.0978,0.3412,0.342,0.2791,2.9826,2.7123,1.8751,2.7918,1.7093,2.3376,1.7447,1.9817,3.6691,3.2018,3.3222,4.7684,0.0205,0.0278,0.0254,0.0397,0.0262,0.0207,0.0231,0.0472,0.0175,0.0118,0.0172,0.0189,2.4126,2.4224,1.7893,3.7128,2.7733,2.3451,2.2773,3.1277,2.9197,1.6973,2.9817,3.0687
2,27, HEX,25.1,0.1432,0.0365,0.1655,0.0467,0.057,0.0246,0.3558,0.1497,0.0853,0.3382,0.3364,0.27,2.9864,2.7173,1.8798,2.7951,1.7225,2.3438,1.746,1.9837,3.6642,3.2016,3.314,4.7702,0.0221,0.0254,0.0248,0.0372,0.0267,0.0208,0.0238,0.0496,0.0193,0.0125,0.0157,0.0177,2.4101,2.4102,1.7964,3.7224,2.7644,2.3352,2.2854,3.1264,2.9102,1.6936,2.9734,3.057
2,28, HEX,25.3,0.1314,0.0407,0.1622,0.0413,0.0583,0.0361,0.3441,0.1505,0.0819,0.3332,0.3241,0.2707,2.9751,2.7013,1.8708,2.7891,1.714,2.3407,1.7444,1.9835,3.6749,3.2055,3.3174,4.7888,0.018,0.0212,0.0261,0.0365,0.0264,0.0196,0.024,0.0487,0.0165,0.0111,0.0166,0.014,2.3974,2.4008,1.7935,3.7111,2.7598,2.3323,2.2598,3.1241,2.8972,1.695,2.9656,3.0453
2,29, HEX,25.5,0.1293,0.0342,0.1615,0.0426,0.0579,0.0266,0.3297,0.1506,0.0887,0.3285,0.3185,0.2662,2.9799,2.7045,1.8697,2.7843,1.7155,2.3499,1.7435,1.983,3.6758,3.1881,3.3043,4.7795,0.0193,0.0244,0.0221,0.0359,0.0281,0.0198,0.0213,0.0494,0.0193,0.0112,0.0149,0.0169,2.3926,2.3879,1.7899,3.7092,2.7563,2.3243,2.255,3.1175,2.8911,1.6901,2.9563,3.0457
2,30, HEX,25.7,0.133,0.0357,0.1612,0.0481,0.0546,0.0314,0.3266,0.1437,0.0979,0.3245,0.3154,0.2635,2.9786,2.7067,1.8662,2.7873,1.7208,2.3438,1.7466,1.9833,3.6575,3.1908,3.2955,4.783,0.0181,0.0224,0.0245,0.0365,0.0248,0.0193,0.0233,0.0507,0.015,0.0104,0.0135,0.0162,2.3835,2.3818,1.7887,3.7008,2.7485,2.32,2.2432,3.1188,2.8846,1.6903,2.9546,3.0398
2,31, HEX,25.9,0.13,0.0341,0.1647,0.0474,0.0516,0.0249,0.3217,0.1356,0.0806,0.3158,0.314,0.2576,2.9705,2.7007,1.8674,2.7813,1.7134,2.3466,1.7391,1.9815,3.6677,3.1945,3.3028,4.784,0.0178,0.0199,0.0245,0.0344,0.0254,0.0187,0.0197,0.0486,0.0148,0.0104,0.0143,0.0179,2.3708,2.3666,1.7819,3.6828,2.7406,2.313,2.2336,3.108,2.8786,1.684,2.9476,3.0287
