X	A1: Sample 1	X	A2: Sample 2	X	A3: Sample 3	X	A4: Sample 4	X	A5: Sample 5	X	A6: Sample 6	X	A7: Sample 7	X	A8: Sample 8	X	A9: Sample 9	X	A10: Sample 10	X	A11: Sample 11	X	A12: Sample 12	X	B1: Sample 25	X	B2: Sample 26	X	B3: Sample 27	X	B4: Sample 28	X	B5: Sample 29	X	B6: Sample 30	X	B7: Sample 31	X	B8: Sample 32	X	B9: Sample 33	X	B10: Sample 34	X	B11: Sample 35	X	B12: Sample 36	X	C1: Sample 49	X	C2: Sample 50	X	C3: Sample 51	X	C4: Sample 52	X	C5: Sample 53	X	C6: Sample 54	X	C7: Sample 55	X	C8: Sample 56	X	C9: Sample 57	X	C10: Sample 58	X	C11: Sample 59	X	C12: Sample 60	X	D1: Sample 73	X	D2: Sample 74	X	D3: Sample 75	X	D4: Sample 76	X	D5: Sample 77	X	D6: Sample 78	X	D7: Sample 79	X	D8: Sample 80	X	D9: Sample 81	X	D10: Sample 82	X	D11: Sample 83	X	D12: Sample 84
22.85	1085.33030432752	22.85	941.674774283935	22.85	504.174822929639	22.85	259.516631966065	22.85	155.231723809153	22.85	81.7683503755448	22.85	37.8838754086239	22.85	21.3288820487625	22.85	14.7518141807091	22.85	14.2443604427732	22.85	11.7707879813492	22.85	9.24870663235523	22.85	1104.79315846824	22.85	930.683666718555	22.85	517.497470423412	22.85	274.105235250623	22.85	163.750279712796	22.85	96.3808447812889	22.85	62.4369916523972	22.85	23.3325636164189	22.85	14.758205010021	22.85	13.0429210164033	22.85	16.1160768577794	22.85	8.36328261816041	22.85	1124.56676136364	22.85	957.272338107098	22.85	550.634437266501	22.85	280.738466103674	22.85	161.441518135118	22.85	83.5034210091065	22.85	40.7490982302693	22.85	22.3681610221435	22.85	22.1549514637492	22.85	13.1589318984472	22.85	11.1000313764788	22.85	8.5412035190302	22.85	985.619065224159	22.85	937.772513231631	22.85	528.160997820673	22.85	277.867518290785	22.85	165.7462250934	22.85	89.4117761519303	22.85	43.4737319281211	22.85	20.9652386923062	22.85	15.1380534664928	22.85	14.0810294525413	22.85	13.6297493408507	22.85	8.8717449943571
23.21	1082.33388587972	23.21	938.957924760304	23.21	502.636998427967	23.21	258.265845823995	23.21	154.908263194963	23.21	81.0494283382362	23.21	37.2722813356058	23.21	21.3262262298048	23.21	14.4974083580423	23.21	14.1920805778974	23.21	11.6177854940523	23.21	9.1970222139697	23.21	1101.03709453991	23.21	929.04253828913	23.21	515.251690714108	23.21	273.514131762856	23.21	162.82000023347	23.21	96.0659524420994	23.21	62.2275085411219	23.21	23.3296583040523	23.21	14.8067291491564	23.21	13.2930587941453	23.21	15.9629999426052	23.21	8.51336614442278	23.21	1123.00285612003	23.21	955.580621186652	23.21	550.565873645872	23.21	279.895312889117	23.21	160.362409141141	23.21	82.8887304857739	23.21	40.341613260335	23.21	22.2145974509907	23.21	22.0014980403086	23.21	13.0568555514374	23.21	10.9982091186204	23.21	8.69084841405569	23.21	982.552180612626	23.21	934.46585885942	23.21	525.114789565434	23.21	277.379183982381	23.21	165.473961738109	23.21	89.1493764883732	23.21	43.5185117630121	23.21	20.9124791579115	23.21	15.3366474564383	23.21	14.1794844294764	23.21	13.7783608658052	23.21	8.8205232312679
23.48	1077.75441203934	23.48	935.630232974353	23.48	501.048686114915	23.48	257.42146161448	23.48	154.128712201973	23.48	81.1405744210658	23.48	37.3687744140625	23.48	21.1719816899395	23.48	14.4956034018224	23.48	14.1903136355943	23.48	11.6163390566153	23.48	9.04429690296431	23.48	1097.53670863421	23.48	924.911097796315	23.48	513.665893068352	23.48	272.366320849415	23.48	162.041579774651	23.48	95.5997178279071	23.48	62.1693341380571	23.48	23.276372354819	23.48	14.6538160711646	23.48	13.0396732771064	23.48	16.0113634816204	23.48	8.51230621337891	23.48	1117.72743012326	23.48	952.621350535358	23.48	548.877925796813	23.48	278.092707295817	23.48	159.989497576102	23.48	82.9791126023251	23.48	40.5377695759929	23.48	22.3123375638073	23.48	21.9485324692441	23.48	13.205867934512	23.48	10.9466256373432	23.48	8.6395362458856	23.48	977.506477994273	23.48	932.678854892928	23.48	523.938182815613	23.48	275.731595103959	23.48	164.245666260738	23.48	88.7865469275243	23.48	43.0112132038253	23.48	21.0101625358916	23.48	15.0340562797638	23.48	14.0274245425524	23.48	13.5261611634517	23.48	8.71920490644842
23.77	1075.45550220991	23.77	934.101290151892	23.77	499.065213754358	23.77	256.253915004046	23.77	153.520512675859	23.77	81.0899590116098	23.77	36.9136764708743	23.77	21.1214513892672	23.77	14.3945899142687	23.77	13.8368188622463	23.77	11.4143158810072	23.77	9.14535066521025	23.77	1095.5493455864	23.77	922.92859810757	23.77	512.549995331175	23.77	271.65755921626	23.77	161.839409938372	23.77	95.3978215555746	23.77	61.8163880124035	23.77	23.2259894747183	23.77	14.5531019841532	23.77	12.938980467291	23.77	15.9106630728064	23.77	8.46193777137544	23.77	1115.43931695095	23.77	950.84612720991	23.77	545.183620984811	23.77	278.244225247448	23.77	159.686960167144	23.77	82.6266528125778	23.77	40.3868869006396	23.77	22.2620838666817	23.77	22.0489836309061	23.77	13.2560805970454	23.77	11.0470532421097	23.77	8.43861720476492	23.77	976.948164373755	23.77	929.185698611803	23.77	521.867267259089	23.77	275.933229970742	23.77	164.195342652826	23.77	88.7865469275243	23.77	43.1115898953016	23.77	20.8597312410514	23.77	14.883716172906	23.77	13.9272287072413	23.77	13.4259668479403	23.77	8.66909407049536
24.11	1073.10542984313	24.11	931.043307239791	24.11	497.38691717505	24.11	255.847800205428	24.11	152.608207307489	24.11	80.8368698059325	24.11	37.1665073106013	24.11	21.2225104708121	24.11	14.4956034018224	24.11	14.0388154413596	24.11	11.6163390566153	24.11	9.09482340413736	24.11	1092.18613825946	24.11	921.505287443974	24.11	510.977622712276	24.11	270.999425150959	24.11	161.333973189274	24.11	95.0949680282775	24.11	61.9172297625903	24.11	23.0748453938154	24.11	14.6538160711646	24.11	12.8886340623833	24.11	16.1624133349415	24.11	8.36120012746864	24.11	1112.0834046626	24.11	947.600029569223	24.11	543.665426185881	24.11	276.425961194285	24.11	158.880201848855	24.11	81.569273443336	24.11	39.9845260072989	24.11	22.2118316893559	24.11	21.898307648313	24.11	13.0050188041778	24.11	10.8461980325767	24.11	8.43861720476492	24.11	976.592847360558	24.11	927.413782370518	24.11	520.14996654009	24.11	274.320175353274	24.11	163.641819440986	24.11	88.5855625350162	24.11	42.910836512349	24.11	20.8095884893045	24.11	14.9338300484585	24.11	13.9272287072413	24.11	13.7265482746747	24.11	8.81942505855484
24.39	1069.17165323083	24.39	928.444036354582	24.39	495.759491331549	24.39	254.832525367281	24.39	153.115042272317	24.39	80.0775961097018	24.39	37.0653737588708	24.39	21.1214513892672	24.39	14.5461109054991	24.39	13.8368188622463	24.39	11.6163390566153	24.39	9.04429690296431	24.39	1088.9248669385	24.39	917.540288066484	24.39	508.796552072958	24.39	269.784412156063	24.39	160.929633516714	24.39	95.0949680282775	24.39	61.2617583863764	24.39	23.1756081144173	24.39	14.5027449406476	24.39	12.9893268721987	24.39	15.9106630728064	24.39	8.41156932937196	24.39	1107.30369537475	24.39	946.129155253984	24.39	542.602733596863	24.39	276.1734312749	24.39	157.972601780378	24.39	82.0224351616969	24.39	40.0851154707343	24.39	22.1615779922303	24.39	21.6974053249891	24.39	13.0050188041778	24.39	10.8461980325767	24.39	8.48884658509517	24.39	973.598282650647	24.39	924.679990973606	24.39	518.786183391434	24.39	272.90875560259	24.39	162.685731682644	24.39	88.0830924349477	24.39	42.9610233382875	24.39	20.909875512598	24.39	14.9839424042113	24.39	14.0775232201078	24.39	13.4259668479403	24.39	8.86953589450791
24.73	1064.59438799328	24.73	925.423740352297	24.73	494.426506286568	24.73	253.734910875451	24.73	151.930403783611	24.73	80.3713004170298	24.73	36.7573997737847	24.73	21.0682980435197	24.73	14.3422967660743	24.73	13.8855884637005	24.73	11.5643940425433	24.73	8.94212982774181	24.73	1085.17171355658	24.73	915.545445350429	24.73	508.378184131084	24.73	268.687829694697	24.73	160.454762289151	24.73	94.6289123284421	24.73	61.0524676529628	24.73	22.8704710136118	24.73	14.4505902896645	24.73	12.8366894640662	24.73	15.8583377138639	24.73	8.25943492736019	24.73	1105.18311185111	24.73	943.678614776547	24.73	539.650941818125	24.73	275.230032560998	24.73	158.003363080418	24.73	81.8108456912113	24.73	39.8789715324676	24.73	22.1085732534934	24.73	21.9458001734058	24.73	12.8527806197871	24.73	10.8448478274189	24.73	8.43756671090152	24.73	969.772345325532	24.73	921.375886966264	24.73	516.549944370098	24.73	271.715525994336	24.73	162.615174319993	24.73	87.5697197303311	24.73	42.8051304968567	24.73	20.7568599473461	24.73	14.8818633512737	24.73	13.8754040340432	24.73	13.4242954964093	24.73	8.66801488537517
24.93	1064.00220936022	24.93	922.709928117998	24.93	492.890469411252	24.93	252.789803491412	24.93	152.114183664737	24.93	79.7540324227502	24.93	36.6011619805281	24.93	20.8636078040399	24.93	14.138531845127	24.93	13.8333742969333	24.93	11.512461200056	24.93	8.94101679191561	24.93	1082.69308563605	24.93	912.229761793627	24.93	505.67801686582	24.93	267.389036049913	24.93	160.030551309279	24.93	94.2638986942214	24.93	61.0448683913679	24.93	22.9179931215187	24.93	14.398447102743	24.93	12.7847593163625	24.93	15.8060269003221	24.93	8.30876277043269	24.93	1099.55530791013	24.93	940.772225852626	24.93	538.926068116754	24.93	274.034401644573	24.93	157.429180377925	24.93	81.4986259568708	24.93	40.0751366020584	24.93	22.0555801904406	24.93	21.6920039295883	24.93	13.0519799519036	24.93	10.8936988805876	24.93	8.58716862635557	24.93	966.454871483694	24.93	916.756616411501	24.93	515.374696601942	24.93	271.026579420276	24.93	161.940925869741	24.93	87.7597541989513	24.93	42.1976953173621	24.93	20.7542763202678	24.93	14.8299095907821	24.93	13.8736769486518	24.93	13.6229633068249	24.93	8.66693596890948
25.27	1058.53715459298	25.27	918.22605489171	25.27	490.704107153971	25.27	252.130058579164	25.27	150.644720873786	25.27	79.4503973347647	25.27	36.8033787312127	25.27	20.8130900824815	25.27	14.0880369148891	25.27	13.883860110643	25.27	11.2095014948675	25.27	9.04204539763622	25.27	1079.38167086756	25.27	909.078895164302	25.27	504.410260299975	25.27	266.478015309933	25.27	159.272590999969	25.27	94.162972649443	25.27	60.8936434217077	25.27	23.0187307580478	25.27	14.2474135801749	25.27	12.8854255400874	25.27	15.6550131302317	25.27	8.15769430117314	25.27	1096.09861214837	25.27	937.526936301967	25.27	537.964772762634	25.27	273.024509117501	25.27	156.874676667133	25.27	80.8442233301438	25.27	39.6225951814165	25.27	21.8043788143554	25.27	21.4911531387113	25.27	12.901380983846	25.27	10.8434979583839	25.27	8.43651647855015	25.27	964.374358196415	25.27	915.288831061738	25.27	513.05185383993	25.27	269.514718695544	25.27	161.488150458209	25.27	87.0062366777135	25.27	42.3482213531942	25.27	20.5537522049843	25.27	14.8299095907821	25.27	13.923761635121	25.27	13.6229633068249	25.27	8.76713193172182
25.6	1056.80058968135	25.6	916.238894853124	25.6	489.077086445108	25.6	250.759783614949	25.6	150.492705805016	25.6	79.652820726755	25.6	36.5506077928569	25.6	20.9646417277353	25.6	14.2395217056028	25.6	13.9343474437741	25.6	11.3609809676064	25.6	9.09255932064118	25.6	1075.20411298855	25.6	907.249365975853	25.6	502.483293658203	25.6	266.073095593727	25.6	158.464100813729	25.6	93.607885480847	25.6	60.6920101288275	25.6	22.8172539655682	25.6	14.2977580876976	25.6	12.8854255400874	25.6	15.6046762198158	25.6	8.10733839799018	25.6	1094.62440876276	25.6	933.723861090366	25.6	534.423183890341	25.6	271.610644993154	25.6	155.66485259911	25.6	80.8442233301438	25.6	39.3711826057614	25.6	21.8546184818039	25.6	21.6920039295883	25.6	12.80098065886	25.6	10.7932962764695	25.6	8.43651647855015	25.6	961.076071228529	25.6	913.011206279562	25.6	511.385449729276	25.6	268.55719150641	25.6	160.934765041542	25.6	86.2024810084485	25.6	42.2980470208644	25.6	20.4534901473425	25.6	14.8800109908864	25.6	13.6733351639322	25.6	13.3224567074309	25.6	8.5166424045463
